update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.3,1.51,0.0048828125
1,2048,0.34,1.29,0.002197265625
2,3072,0.58,1.4,0.001220703125
3,4096,0.46,1.44,0.001953125
4,5120,0.1,1.4,0.002197265625
5,6144,0.36,1.25,0.0
6,7168,0.26,1.27,0.0009765625
7,8192,0.4,1.25,0.00048828125
8,9216,0.38,1.36,0.001708984375
9,10240,0.26,1.4,0.001220703125
10,11264,0.22,1.45,0.001953125
11,12288,0.42,1.44,0.0009765625
12,13312,0.24,1.38,0.0009765625
13,14336,0.38,1.25,0.0009765625
14,15360,0.3,1.4,0.0029296875
15,16384,0.28,1.4,0.002197265625
16,17408,0.4,1.25,0.00146484375
17,18432,0.46,1.37,0.00048828125
18,19456,0.38,1.16,0.001708984375
19,20480,0.42,1.23,0.002685546875
20,21504,0.44,1.37,0.000732421875
21,22528,0.44,1.33,0.00146484375
22,23552,0.44,1.32,0.000732421875
23,24576,0.48,1.28,0.001708984375
24,25600,0.44,1.25,0.000732421875
25,26624,0.48,1.3,0.002197265625
26,27648,0.5,1.32,0.003173828125
27,28672,0.26,1.33,0.001220703125
28,29696,0.48,1.2,0.00341796875
29,30720,0.38,1.38,0.002685546875
30,31744,0.36,1.3,0.0
31,32768,0.46,1.22,0.001220703125
32,33792,0.38,1.27,0.002197265625
33,34816,0.38,1.31,0.002685546875
34,35840,0.38,1.47,0.001953125
35,36864,0.38,1.26,0.001220703125
36,37888,0.56,1.32,0.00048828125
37,38912,0.46,1.22,0.004638671875
38,39936,0.24,1.21,0.002685546875
39,40960,0.38,1.28,0.00390625
40,41984,0.4,1.26,0.003173828125
41,43008,0.5,1.39,0.005126953125
42,44032,0.34,1.31,0.00244140625
43,45056,0.4,1.24,0.00341796875
44,46080,0.52,1.24,0.003173828125
45,47104,0.38,1.44,0.002197265625
46,48128,0.54,1.25,0.005615234375
47,49152,0.36,1.29,0.00390625
48,50176,0.46,1.35,0.001953125
49,51200,0.26,1.27,0.002685546875
50,52224,0.38,1.39,0.002197265625
51,53248,0.44,1.39,0.001708984375
52,54272,0.42,1.37,0.00244140625
53,55296,0.5,1.26,0.003173828125
54,56320,0.56,1.33,0.00537109375
