update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.32,1.67,0.015625
1,2048,0.44,1.36,0.01220703125
2,3072,0.28,1.49,0.01318359375
3,4096,0.24,1.41,0.013671875
4,5120,0.22,1.56,0.0126953125
5,6144,0.54,1.35,0.012451171875
6,7168,0.4,1.38,0.0126953125
7,8192,0.38,1.47,0.008544921875
8,9216,0.36,1.71,0.009033203125
9,10240,0.3,1.64,0.010498046875
10,11264,0.44,1.65,0.016357421875
11,12288,0.5,1.39,0.015380859375
12,13312,0.52,1.5,0.016357421875
13,14336,0.24,1.44,0.018310546875
14,15360,0.58,1.51,0.013427734375
15,16384,0.46,1.44,0.01416015625
16,17408,0.44,1.54,0.022216796875
17,18432,0.48,1.43,0.0146484375
18,19456,0.6,1.37,0.0185546875
19,20480,0.6,1.59,0.0146484375
20,21504,0.5,1.42,0.017578125
21,22528,0.5,1.58,0.017578125
22,23552,0.38,1.46,0.02099609375
23,24576,0.5,1.43,0.015625
24,25600,0.42,1.35,0.01806640625
25,26624,0.48,1.35,0.013671875
26,27648,0.48,1.39,0.016845703125
27,28672,0.46,1.24,0.013916015625
28,29696,0.44,1.36,0.02099609375
29,30720,0.38,1.46,0.019287109375
30,31744,0.52,1.26,0.018310546875
31,32768,0.58,1.41,0.020263671875
32,33792,0.42,1.38,0.023193359375
33,34816,0.44,1.58,0.028564453125
34,35840,0.4,1.32,0.01513671875
35,36864,0.66,1.47,0.0263671875
36,37888,0.42,1.34,0.0146484375
37,38912,0.44,1.46,0.020263671875
38,39936,0.42,1.41,0.030029296875
39,40960,0.48,1.51,0.0205078125
40,41984,0.58,1.47,0.025634765625
41,43008,0.62,1.33,0.02392578125
42,44032,0.54,1.46,0.024169921875
43,45056,0.52,1.47,0.029541015625
44,46080,0.64,1.49,0.028076171875
45,47104,0.48,1.51,0.025390625
46,48128,0.42,1.62,0.0205078125
47,49152,0.4,1.37,0.019775390625
48,50176,0.46,1.43,0.029296875
49,51200,0.56,1.4,0.020263671875
50,52224,0.46,1.38,0.022216796875
51,53248,0.56,1.47,0.02490234375
52,54272,0.54,1.47,0.03076171875
53,55296,0.42,1.44,0.02001953125
54,56320,0.5,1.5,0.021240234375
55,57344,0.54,1.75,0.02099609375
56,58368,0.58,1.8,0.017822265625
57,59392,0.48,1.7,0.025634765625
58,60416,0.46,1.49,0.021484375
59,61440,0.42,1.85,0.031005859375
60,62464,0.68,1.56,0.022705078125
61,63488,0.38,1.65,0.0341796875
