time_cost,n_seeds,acc_mean,acc_std,kappa_mean,kappa_std,mdt_steps_mean,mdt_steps_std,spike_rate_mean,spike_rate_std
0,3,0.750925925926,0.00314709894259,0.501851851852,0.00629419788517,2.50818452381,0.245402746785,0.176392113956,0.0050763091821
0.005,3,0.74935515873,0.00455377675299,0.49871031746,0.00910755350597,2.33870701058,0.132210581761,0.178210064923,0.00539433022707
0.01,3,0.746726190476,0.00744312122298,0.493452380952,0.014886242446,2.03387896825,0.196510030258,0.175425894063,0.00378311570796
0.02,3,0.744295634921,0.0030160198638,0.488591269841,0.0060320397276,1.84715608466,0.0606446297548,0.168373180571,0.00277306667216
