epoch,train_loss,val_loss,val_acc
0,1.004070308473375,1.0204107191251672,0.029891304347826088
1,0.9648605608133878,1.0227247424747632,0.07608695652173914
2,0.9490272515061973,1.0042794528214827,0.08423913043478261
3,0.9422847352166107,1.0198977615522302,0.14673913043478262
4,0.9221010032483345,1.0287811600643655,0.2608695652173913
5,0.9148162200255094,1.0033215284347534,0.266304347826087
6,0.8999758633438516,1.012949710306914,0.33152173913043476
7,0.881313841699978,1.0048415609028027,0.37771739130434784
8,0.8684025015232067,1.032480416090592,0.3179347826086957
9,0.859681608884231,1.098553838937179,0.30434782608695654
10,0.855878920658775,1.041411280632019,0.3804347826086957
11,0.828148186782708,1.0877849381902944,0.328804347826087
12,0.8191041796679658,1.0548110371050627,0.4048913043478261
13,0.7904846578980413,1.079285284747248,0.39945652173913043
14,0.7877312676918103,1.1185050373492034,0.375
15,0.7762347212160267,1.0985641894133196,0.40217391304347827
16,0.7609435213360809,1.166896711225095,0.375
17,0.7517856261580462,1.1415194272994995,0.391304347826087
18,0.7310828794027873,1.2592315207356992,0.34782608695652173
19,0.7388140904730645,1.2128428065258523,0.40217391304347827
20,0.7275910786384545,1.2356789267581443,0.3967391304347826
21,0.7300948163737422,1.2938529356666233,0.37771739130434784
22,0.7047682767329009,1.3532522502152815,0.4048913043478261
23,0.6925702423289202,1.312190444573112,0.4076086956521739
24,0.6836248187051304,1.2905996104945308,0.391304347826087
25,0.6702925675157188,1.3164643982182378,0.3804347826086957
26,0.6775667958213512,1.3355900515680728,0.375
27,0.6573188670591456,1.4163927928261135,0.4266304347826087
28,0.6424455389308469,1.4335179173428079,0.38858695652173914
29,0.6498720481775809,1.3863252297691677,0.4048913043478261
