update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.3128000068664551,1.44,0.007080078125
1,2048,0.07330000638961792,1.34,0.003173828125
2,3072,0.37365000605583193,1.27,0.00146484375
3,4096,0.29345000624656675,1.31,0.00341796875
4,5120,0.15390000581741334,1.22,0.000732421875
5,6144,0.2733500063419342,1.33,0.00244140625
6,7168,0.3730000066757202,1.4,0.00390625
7,8192,0.3531500065326691,1.37,0.00244140625
8,9216,0.3336500060558319,1.27,0.0029296875
9,10240,0.15295000672340392,1.41,0.004150390625
10,11264,0.3936500060558319,1.27,0.004638671875
11,12288,0.572800006866455,1.44,0.002685546875
12,13312,0.31285000681877134,1.43,0.003173828125
13,14336,0.4337000060081482,1.26,0.003662109375
14,15360,0.3733000063896179,1.34,0.0009765625
15,16384,0.3337000060081482,1.26,0.00146484375
16,17408,0.4337000060081482,1.26,0.0009765625
17,18432,0.33310000658035277,1.38,0.0048828125
18,19456,0.41350000619888305,1.3,0.002685546875
19,20480,0.41295000672340393,1.41,0.002197265625
20,21504,0.4325500071048737,1.49,0.00341796875
21,22528,0.3127500069141388,1.45,0.00341796875
22,23552,0.41355000615119936,1.29,0.00146484375
23,24576,0.47355000615119935,1.29,0.00341796875
24,25600,0.4740500056743622,1.19,0.00244140625
25,26624,0.39290000677108766,1.42,0.00439453125
26,27648,0.3135000061988831,1.3,0.00439453125
27,28672,0.33350000619888304,1.3,0.0078125
28,29696,0.4536500060558319,1.27,0.002685546875
29,30720,0.5131500065326691,1.37,0.00146484375
30,31744,0.5933000063896179,1.34,0.00146484375
31,32768,0.2731500065326691,1.37,0.001953125
32,33792,0.3933500063419342,1.33,0.004150390625
33,34816,0.5734500062465667,1.31,0.001953125
34,35840,0.33330000638961793,1.34,0.01025390625
35,36864,0.5135500061511994,1.29,0.0048828125
36,37888,0.31290000677108765,1.42,0.004150390625
37,38912,0.3331500065326691,1.37,0.00341796875
38,39936,0.37340000629425046,1.32,0.004638671875
39,40960,0.4930000066757202,1.4,0.004638671875
40,41984,0.5933500063419342,1.33,0.005859375
41,43008,0.41375000596046446,1.25,0.001220703125
42,44032,0.41380000591278077,1.24,0.005615234375
43,45056,0.4938000059127808,1.24,0.00439453125
44,46080,0.41375000596046446,1.25,0.002685546875
45,47104,0.5735500061511993,1.29,0.004638671875
46,48128,0.4336000061035156,1.28,0.004150390625
47,49152,0.4934000062942505,1.32,0.003662109375
48,50176,0.37325000643730166,1.35,0.005615234375
49,51200,0.5541000056266785,1.18,0.001953125
50,52224,0.4333500063419342,1.33,0.00390625
51,53248,0.3733500063419342,1.33,0.005615234375
52,54272,0.3536500060558319,1.27,0.00537109375
53,55296,0.3731000065803528,1.38,0.000732421875
54,56320,0.5932500064373016,1.35,0.003662109375
55,57344,0.25360000610351563,1.28,0.0068359375
56,58368,0.3738000059127808,1.24,0.007568359375
57,59392,0.4734000062942505,1.32,0.00830078125
58,60416,0.5534000062942505,1.32,0.0048828125
