epoch,train_loss,val_loss,val_acc
0,0.9991686562985038,0.9756098078644794,0.6967391304347826
1,0.9543609288003709,0.9631442686785823,0.6972826086956522
2,0.9434908084247423,0.9562042303707289,0.6956521739130435
3,0.9304427971010623,0.9485606006954027,0.6934782608695652
4,0.9184273435297795,0.9428827581198319,0.7043478260869566
5,0.9073751499687416,0.9345662412436112,0.7005434782608696
6,0.8982984887229072,0.9301644900570745,0.7119565217391305
7,0.8917812633053692,0.9254360535870427,0.7168478260869565
8,0.8870949226876964,0.923465389272441,0.7222826086956522
9,0.883746566115946,0.9201534856920657,0.7206521739130435
10,0.8811787781508073,0.9198068613591401,0.7228260869565217
11,0.8786704140008935,0.9134451228639354,0.7271739130434782
12,0.8763774469278861,0.9124771123347075,0.720108695652174
13,0.8747163527253745,0.9109936201054117,0.7347826086956522
14,0.8732576666822756,0.9103567367014678,0.7434782608695653
15,0.8719918664526825,0.9087237301080123,0.7429347826086956
16,0.8706718049763481,0.9081001903699792,0.7364130434782609
17,0.8702429106845948,0.9068008220714071,0.7407608695652174
18,0.8695422791052556,0.9049904372381128,0.7353260869565217
19,0.8689150340891115,0.9052726289500361,0.7456521739130435
20,0.8679360479548357,0.9036510845889216,0.7380434782608696
21,0.8666164152288206,0.9040483858274377,0.7407608695652174
22,0.866313053789922,0.9008290689924489,0.7385869565217391
23,0.8652537747281761,0.9006905037423839,0.7320652173913044
24,0.865032364492831,0.9002914039984994,0.7402173913043478
25,0.864548064660335,0.8994407731553783,0.7380434782608696
26,0.8639301142254889,0.8986450278240702,0.7467391304347826
27,0.8636833996588481,0.8987486362457275,0.7489130434782608
28,0.8629934842459821,0.8976476969926254,0.7380434782608696
29,0.8626436021016992,0.8963930762332418,0.7489130434782608
