epoch,train_loss,val_loss,val_acc
0,1.0233847375077325,0.9816015492314878,0.716304347826087
1,0.9618596780127373,0.9591694526050402,0.7266304347826087
2,0.9424559076627096,0.9508893671243087,0.7157608695652173
3,0.9306457183787212,0.9426583129426708,0.7010869565217391
4,0.9222199355346569,0.9354226926098699,0.7179347826086957
5,0.9149550046897741,0.9268484659816908,0.7239130434782609
6,0.9083140774625511,0.9232156898664392,0.725
7,0.9025029315464739,0.9181686276974885,0.7342391304347826
8,0.897760898594695,0.9157139451607413,0.7326086956521739
9,0.8926345651276446,0.9120366184607797,0.7304347826086957
10,0.8888717385881765,0.9110802541608396,0.7364130434782609
11,0.88570910749804,0.9052701955256255,0.7342391304347826
12,0.8832772909731105,0.9040791210920914,0.741304347826087
13,0.8810768251257818,0.8987385734267856,0.7364130434782609
14,0.8792487074787491,0.8972970325013866,0.7353260869565217
15,0.8772489880594079,0.8958639839421147,0.7429347826086956
16,0.875776611664445,0.8941807228585948,0.7396739130434783
17,0.8742958603849733,0.894276896248693,0.7478260869565218
18,0.8732465465287655,0.8927551274714263,0.7467391304347826
19,0.8721057208263931,0.893935589686684,0.7358695652173913
20,0.8708112798451225,0.8912821671237117,0.7445652173913043
21,0.8702952346364081,0.8908143561819325,0.7396739130434783
22,0.8692407481336363,0.8888347433960956,0.7456521739130435
23,0.8686418360558109,0.8873906861180845,0.7521739130434782
24,0.8678794750844799,0.8869725724925166,0.75
25,0.8671177104475417,0.885342678298121,0.7510869565217392
26,0.8665015870246334,0.885932023110597,0.7576086956521739
27,0.8656565840693488,0.8844124311986177,0.7521739130434782
28,0.8652268553125686,0.8832520479741304,0.7505434782608695
29,0.8647788195794331,0.8820537043654401,0.7543478260869565
