epoch,train_loss,val_loss,val_acc
0,0.6318515720574752,0.6082305830457936,0.7119565217391305
1,0.5916424097070372,0.5979375165441762,0.7103260869565218
2,0.5797522678467386,0.5920876523722773,0.7086956521739131
3,0.5708762335316571,0.5853180859399878,0.7190217391304348
4,0.5629436215340803,0.5808212990346162,0.725
5,0.5560584226668169,0.5756854544515195,0.7407608695652174
6,0.5504459053421942,0.5720188954602117,0.7402173913043478
7,0.5443957436487871,0.568415299705837,0.7451086956521739
8,0.5404850109187878,0.5645955567774565,0.7445652173913043
9,0.5373566979947297,0.5624967528426129,0.7576086956521739
10,0.5341285219515003,0.5586346206457719,0.7521739130434782
11,0.5327176866324052,0.5556005135826443,0.7570652173913044
12,0.5309382780738499,0.552624964195749,0.7505434782608695
13,0.5296451409081906,0.5521120247633561,0.753804347826087
14,0.5277710202811421,0.5504256668298141,0.7646739130434783
15,0.5266514627829842,0.5497452746266904,0.7603260869565217
16,0.5253347161311458,0.5483034149460171,0.746195652173913
17,0.5245384668958359,0.547478955724965,0.7527173913043478
18,0.5241657527172623,0.5464044964831808,0.7570652173913044
19,0.5231578033327481,0.5457543367924897,0.7635869565217391
20,0.5225875541783761,0.5448685962220897,0.7570652173913044
21,0.521872398502009,0.5438239315281743,0.758695652173913
22,0.5214747942012289,0.5450338410294574,0.7597826086956522
23,0.5210492622449202,0.5443808306818423,0.7576086956521739
24,0.520592849323715,0.5424694703972858,0.7570652173913044
25,0.5205608730154913,0.5414106223894202,0.7543478260869565
26,0.5198998828441048,0.5409527524657871,0.7608695652173914
27,0.5197017276344668,0.5405118491338647,0.7559782608695652
28,0.5192614626769282,0.5406934567119764,0.7619565217391304
29,0.5190273688899146,0.5403045234472855,0.753804347826087
